name|hasAlumnus,name.s=hasAlumnus.o,name.o=FullProfessor4|,6016
teacherOf|emailAddress,teacherOf.s=emailAddress.s,teacherOf.o=http://www.Department20.University50.edu/GraduateCourse50|emailAddress.o=Lecturer0@Department20.University50.edu,1
member|type,member.o=type.s,member.s=http://www.Department1.University24.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,131
memberOf|name,memberOf.o=name.s,memberOf.s=http://www.Department8.University8.edu/AssociateProfessor0|,1
type|telephone,type.s=telephone.s,|telephone.o=xxx-xxx-xxxx,2828648
type|subOrganizationOf,type.s=subOrganizationOf.s,|subOrganizationOf.o=http://www.Department12.University29.edu,32
name|telephone,name.s=telephone.s,name.o=UndergraduateStudent180|telephone.o=xxx-xxx-xxxx,2007
memberOf|type,memberOf.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,795970
advisor|type,advisor.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor,411501
degreeFrom|memberOf,degreeFrom.s=memberOf.s,degreeFrom.o=http://www.University770.edu|memberOf.o=http://www.Department1.University65.edu,1
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent316@Department10.University98.edu|takesCourse.o=http://www.Department10.University98.edu/Course47,1
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department6.University19.edu/GraduateCourse34,23
publicationAuthor|hasAlumnus,publicationAuthor.o=hasAlumnus.o,publicationAuthor.s=http://www.Department8.University93.edu/AssociateProfessor10/Publication12|hasAlumnus.s=http://www.University988.edu,1
degreeFrom|emailAddress,degreeFrom.s=emailAddress.s,degreeFrom.o=http://www.University807.edu|,454
takesCourse|name,takesCourse.s=name.s,takesCourse.o=http://www.Department12.University7.edu/Course5|name.o=UndergraduateStudent411,1
degreeFrom|type,degreeFrom.o=type.s,degreeFrom.s=http://www.Department1.University22.edu/AssistantProfessor6|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,3
member|emailAddress,member.o=emailAddress.s,member.s=http://www.Department13.University84.edu|,384
teacherOf|takesCourse,teacherOf.o=takesCourse.o,teacherOf.s=http://www.Department22.University72.edu/Lecturer4|takesCourse.s=http://www.Department22.University72.edu/UndergraduateStudent134,1
degreeFrom|type,degreeFrom.o=type.s,degreeFrom.s=http://www.Department8.University47.edu/GraduateStudent15|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1
takesCourse|undergraduateDegreeFrom,takesCourse.s=undergraduateDegreeFrom.s,takesCourse.o=http://www.Department23.University35.edu/GraduateCourse17|,6
name|takesCourse,name.s=takesCourse.o,|takesCourse.s=http://www.Department15.University41.edu/UndergraduateStudent285,4
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department10.University36.edu/Course22|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,15
type|emailAddress,type.s=emailAddress.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,795970
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|member.s=http://www.Department9.University44.edu,472
type|member,type.s=member.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|member.s=http://www.Department17.University50.edu,296
member|takesCourse,member.o=takesCourse.s,member.s=http://www.Department17.University24.edu|takesCourse.o=http://www.Department17.University24.edu/GraduateCourse41,4
member|name,member.o=name.s,member.s=http://www.Department5.University1.edu|,696
degreeFrom|type,degreeFrom.s=type.s,degreeFrom.o=http://www.University669.edu|,1692
name|telephone,name.s=telephone.s,name.o=UndergraduateStudent246|,2005
publicationAuthor|memberOf,publicationAuthor.o=memberOf.s,|memberOf.o=http://www.Department0.University9.edu,788
undergraduateDegreeFrom|type,undergraduateDegreeFrom.o=type.s,undergraduateDegreeFrom.s=http://www.Department10.University84.edu/GraduateStudent15|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1
name|degreeFrom,name.s=degreeFrom.o,name.o=University36|,443
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department11.University22.edu/GraduateStudent90,6
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|publicationAuthor.o=http://www.Department12.University99.edu/GraduateStudent86,5
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department14.University1.edu/UndergraduateStudent274|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,2
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department6.University76.edu/UndergraduateStudent364|,4
memberOf|name,memberOf.s=name.s,memberOf.o=http://www.Department11.University34.edu|name.o=UndergraduateStudent350,1
teacherOf|member,teacherOf.s=member.o,teacherOf.o=http://www.Department15.University88.edu/GraduateCourse42|member.s=http://www.Department15.University88.edu,1
worksFor|type,worksFor.o=type.s,worksFor.s=http://www.Department17.University77.edu/FullProfessor8|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1
memberOf|name,memberOf.o=name.s,|name.o=Department7,55601
takesCourse|publicationAuthor,takesCourse.s=publicationAuthor.o,takesCourse.o=http://www.Department2.University27.edu/GraduateCourse17|publicationAuthor.s=http://www.Department2.University27.edu/FullProfessor1/Publication1,1
telephone|takesCourse,telephone.s=takesCourse.s,|takesCourse.o=http://www.Department24.University31.edu/GraduateCourse20,4
teacherOf|member,teacherOf.s=member.o,teacherOf.o=http://www.Department1.University96.edu/GraduateCourse3|member.s=http://www.Department1.University96.edu,1
memberOf|type,memberOf.o=type.s,memberOf.s=http://www.Department11.University47.edu/UndergraduateStudent355|,2
hasAlumnus|name,hasAlumnus.s=name.s,hasAlumnus.o=http://www.Department8.University80.edu/GraduateStudent127|,1
degreeFrom|advisor,degreeFrom.s=advisor.o,degreeFrom.o=http://www.University501.edu|advisor.s=http://www.Department13.University79.edu/GraduateStudent64,1
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department24.University85.edu/GraduateStudent42,9
member|name,member.s=name.s,member.o=http://www.Department7.University9.edu/UndergraduateStudent102|,1
name|undergraduateDegreeFrom,name.s=undergraduateDegreeFrom.o,name.o=University48|,344
type|degreeFrom,type.s=degreeFrom.s,|degreeFrom.o=http://www.University456.edu,1771
member|type,member.s=type.s,member.o=http://www.Department3.University17.edu/UndergraduateStudent191|,2
subOrganizationOf|name,subOrganizationOf.s=name.s,subOrganizationOf.o=http://www.University65.edu|name.o=Department5,1
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department3.University79.edu/GraduateCourse3|,19
type|undergraduateDegreeFrom,type.s=undergraduateDegreeFrom.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University|,324864
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|,2894749
name|takesCourse,name.s=takesCourse.s,|takesCourse.o=http://www.Department9.University83.edu/Course26,33
emailAddress|publicationAuthor,emailAddress.s=publicationAuthor.o,emailAddress.o=AssociateProfessor9@Department17.University72.edu|,16
type|emailAddress,type.s=emailAddress.s,|emailAddress.o=GraduateStudent29@Department7.University37.edu,4
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|name.o=Publication0,70299
member|memberOf,member.o=memberOf.s,member.s=http://www.Department18.University19.edu|memberOf.o=http://www.Department18.University19.edu,573
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|,1442184
advisor|telephone,advisor.s=telephone.s,|telephone.o=xxx-xxx-xxxx,411501
publicationAuthor|type,publicationAuthor.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,1442184
member|type,member.s=type.s,member.o=http://www.Department23.University41.edu/UndergraduateStudent354|,2
telephone|takesCourse,telephone.s=takesCourse.s,telephone.o=xxx-xxx-xxxx|,2894749
member|takesCourse,member.o=takesCourse.s,member.s=http://www.Department10.University80.edu|takesCourse.o=http://www.Department10.University80.edu/Course29,13
memberOf|advisor,memberOf.s=advisor.o,memberOf.o=http://www.Department4.University65.edu|advisor.s=http://www.Department4.University65.edu/UndergraduateStudent204,1
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department0.University81.edu|,1654
memberOf|name,memberOf.o=name.s,memberOf.s=http://www.Department13.University43.edu/UndergraduateStudent97|name.o=Department13,1
name|type,name.s=type.s,name.o=UndergraduateStudent242|,4012
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department8.University34.edu|,1231
name|member,name.s=member.s,name.o=Department16|member.o=http://www.Department16.University53.edu/UndergraduateStudent58,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|,2894749
name|publicationAuthor,name.s=publicationAuthor.o,name.o=FullProfessor3|publicationAuthor.s=http://www.Department0.University79.edu/FullProfessor3/Publication12,1
type|member,type.s=member.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department|member.o=http://www.Department5.University54.edu/UndergraduateStudent94,1
undergraduateDegreeFrom|takesCourse,undergraduateDegreeFrom.s=takesCourse.s,undergraduateDegreeFrom.o=http://www.University382.edu|,442
name|type,name.s=type.s,name.o=UndergraduateStudent210|,4014
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department18.University24.edu/UndergraduateStudent323|name.o=Course4,1
type|memberOf,type.s=memberOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|memberOf.o=http://www.Department6.University54.edu,362
type|publicationAuthor,type.s=publicationAuthor.s,|publicationAuthor.o=http://www.Department7.University47.edu/AssociateProfessor3,17
member|name,member.o=name.s,|name.o=GraduateStudent86,2007
hasAlumnus|telephone,hasAlumnus.o=telephone.s,hasAlumnus.s=http://www.University229.edu|telephone.o=xxx-xxx-xxxx,440
emailAddress|degreeFrom,emailAddress.s=degreeFrom.s,emailAddress.o=GraduateStudent29@Department6.University32.edu|degreeFrom.o=http://www.University486.edu,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateCourse|,505548
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department11.University43.edu/UndergraduateStudent79,8
telephone|takesCourse,telephone.s=takesCourse.s,|takesCourse.o=http://www.Department10.University28.edu/Course9,12
takesCourse|name,takesCourse.s=name.s,takesCourse.o=http://www.Department15.University12.edu/Course53|,23
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|,2828648
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|takesCourse.s=http://www.Department3.University21.edu/UndergraduateStudent371,4
degreeFrom|undergraduateDegreeFrom,degreeFrom.o=undergraduateDegreeFrom.o,|undergraduateDegreeFrom.s=http://www.Department9.University4.edu/GraduateStudent70,480
publicationAuthor|type,publicationAuthor.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,633443
memberOf|takesCourse,memberOf.s=takesCourse.s,memberOf.o=http://www.Department3.University12.edu|,1726
hasAlumnus|telephone,hasAlumnus.o=telephone.s,hasAlumnus.s=http://www.University338.edu|,480
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|,808741
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department7.University49.edu/UndergraduateStudent252|,4
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|telephone.o=xxx-xxx-xxxx,252562
member|worksFor,member.s=worksFor.o,member.o=http://www.Department14.University7.edu/UndergraduateStudent130|,37
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|takesCourse.o=http://www.Department21.University55.edu/Course11,28
doctoralDegreeFrom|type,doctoralDegreeFrom.o=type.s,doctoralDegreeFrom.s=http://www.Department15.University52.edu/FullProfessor4|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University,1
takesCourse|emailAddress,takesCourse.s=emailAddress.s,takesCourse.o=http://www.Department15.University36.edu/Course58|,29
memberOf|name,memberOf.o=name.s,memberOf.s=http://www.Department11.University86.edu/UndergraduateStudent264|name.o=Department11,1
name|takesCourse,name.s=takesCourse.o,name.o=Course29|takesCourse.s=http://www.Department16.University52.edu/UndergraduateStudent25,1
name|takesCourse,name.s=takesCourse.o,|takesCourse.s=http://www.Department17.University64.edu/UndergraduateStudent326,3
name|undergraduateDegreeFrom,name.s=undergraduateDegreeFrom.s,|undergraduateDegreeFrom.o=http://www.University894.edu,332
memberOf|name,memberOf.o=name.s,memberOf.s=http://www.Department9.University35.edu/UndergraduateStudent151|name.o=Department9,1
hasAlumnus|emailAddress,hasAlumnus.o=emailAddress.s,|emailAddress.o=Lecturer2@Department3.University79.edu,3
member|name,member.o=name.s,member.s=http://www.Department18.University76.edu|,675
name|publicationAuthor,name.s=publicationAuthor.o,name.o=AssistantProfessor2|publicationAuthor.s=http://www.Department10.University28.edu/AssistantProfessor2/Publication3,1
type|emailAddress,type.s=emailAddress.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|emailAddress.o=UndergraduateStudent261@Department13.University71.edu,1
teacherOf|name,teacherOf.o=name.s,teacherOf.s=http://www.Department3.University40.edu/AssociateProfessor0|,3
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department10.University68.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,123
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department21.University55.edu/Course7,22
memberOf|publicationAuthor,memberOf.s=publicationAuthor.o,memberOf.o=http://www.Department8.University81.edu|publicationAuthor.s=http://www.Department8.University81.edu/AssistantProfessor1/Publication8,4
publicationAuthor|telephone,publicationAuthor.o=telephone.s,publicationAuthor.s=http://www.Department9.University53.edu/AssociateProfessor6/Publication14|,3
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,2389201
takesCourse|type,takesCourse.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,2894749
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department4.University12.edu|,1234
name|takesCourse,name.s=takesCourse.o,name.o=Course3|,44543
undergraduateDegreeFrom|type,undergraduateDegreeFrom.o=type.s,undergraduateDegreeFrom.s=http://www.Department9.University51.edu/GraduateStudent79|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department2.University75.edu/UndergraduateStudent445|name.o=Course11,1
memberOf|takesCourse,memberOf.s=takesCourse.s,|takesCourse.o=http://www.Department6.University4.edu/Course9,23
telephone|hasAlumnus,telephone.s=hasAlumnus.o,telephone.o=xxx-xxx-xxxx|,469226
name|type,name.s=type.s,name.o=UndergraduateStudent41|,4014
undergraduateDegreeFrom|telephone,undergraduateDegreeFrom.s=telephone.s,undergraduateDegreeFrom.o=http://www.University803.edu|telephone.o=xxx-xxx-xxxx,291
type|teacherOf,type.s=teacherOf.s,|teacherOf.o=http://www.Department12.University83.edu/GraduateCourse5,4
emailAddress|member,emailAddress.s=member.o,emailAddress.o=FullProfessor1@Department0.University96.edu|member.s=http://www.Department0.University96.edu,1
undergraduateDegreeFrom|takesCourse,undergraduateDegreeFrom.s=takesCourse.s,undergraduateDegreeFrom.o=http://www.University168.edu|takesCourse.o=http://www.Department15.University69.edu/GraduateCourse2,1
takesCourse|emailAddress,takesCourse.s=emailAddress.s,|emailAddress.o=UndergraduateStudent142@Department9.University43.edu,4
name|telephone,name.s=telephone.s,name.o=UndergraduateStudent112|telephone.o=xxx-xxx-xxxx,2007
publicationAuthor|advisor,publicationAuthor.o=advisor.s,publicationAuthor.s=http://www.Department0.University43.edu/AssociateProfessor9/Publication1|advisor.o=http://www.Department0.University43.edu/AssistantProfessor3,1
name|takesCourse,name.s=takesCourse.o,name.o=Course41|takesCourse.s=http://www.Department15.University58.edu/UndergraduateStudent83,1
takesCourse|type,takesCourse.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,2389201
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent148|,6040
name|memberOf,name.s=memberOf.o,name.o=Department2|memberOf.s=http://www.Department2.University76.edu/UndergraduateStudent56,1
type|degreeFrom,type.s=degreeFrom.o,|degreeFrom.s=http://www.Department3.University88.edu/GraduateStudent109,2
publicationAuthor|undergraduateDegreeFrom,publicationAuthor.o=undergraduateDegreeFrom.s,publicationAuthor.s=http://www.Department21.University9.edu/FullProfessor2/Publication8|,3
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|name.o=Publication4,62350
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department2.University1.edu/AssociateProfessor9|,16
name|undergraduateDegreeFrom,name.s=undergraduateDegreeFrom.s,name.o=AssociateProfessor0|,2007
name|hasAlumnus,name.s=hasAlumnus.o,name.o=GraduateStudent53|,2007
advisor|type,advisor.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,252562
publicationAuthor|hasAlumnus,publicationAuthor.o=hasAlumnus.o,publicationAuthor.s=http://www.Department3.University95.edu/FullProfessor5/Publication12|hasAlumnus.s=http://www.University173.edu,1
telephone|memberOf,telephone.s=memberOf.s,telephone.o=xxx-xxx-xxxx|memberOf.o=http://www.Department17.University85.edu,612
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|publicationAuthor.o=http://www.Department6.University43.edu/GraduateStudent52,4
name|telephone,name.s=telephone.s,|telephone.o=xxx-xxx-xxxx,1120834
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,publicationAuthor.s=http://www.Department3.University52.edu/FullProfessor0/Publication12|takesCourse.o=http://www.Department3.University52.edu/GraduateCourse42,1
takesCourse|type,takesCourse.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,2389201
name|degreeFrom,name.s=degreeFrom.o,name.o=University29|degreeFrom.s=http://www.Department2.University3.edu/GraduateStudent5,1
degreeFrom|publicationAuthor,degreeFrom.s=publicationAuthor.o,degreeFrom.o=http://www.University833.edu|publicationAuthor.s=http://www.Department15.University41.edu/FullProfessor7/Publication10,1
memberOf|member,memberOf.o=member.s,memberOf.s=http://www.Department8.University43.edu/UndergraduateStudent88|member.o=http://www.Department8.University43.edu/GraduateStudent7,1
takesCourse|name,takesCourse.s=name.s,|name.o=UndergraduateStudent207,6050
teacherOf|takesCourse,teacherOf.o=takesCourse.o,teacherOf.s=http://www.Department13.University21.edu/AssociateProfessor3|takesCourse.s=http://www.Department13.University21.edu/UndergraduateStudent310,1
hasAlumnus|type,hasAlumnus.s=type.s,hasAlumnus.o=http://www.Department9.University13.edu/GraduateStudent35|,2
